STAT;Lat;Long;h[m];estado_abril_2021
SUTH;-32,38020914;20,81046403;1799,758982;active
KOKB;22,12626736;-159,665;1167,359009;inactive
WIND;-22,5749184;17,0894338;1734,6676;active
NKLG;0,353909045;9,672127872;31,49840612;active
BJCO;6,384666285;2,450023962;30,7066429;inactive
VESL;-71,6737953;-2,8417831;862,3408;removed
STHL;-15,94253359;-5,667345215;453,1868082;active
ASCG;-7,916280583;-14,33266463;37,96188021;active
MAS1;27,76374258;-15,63327437;197,1328398;active
CPVG;16,73206309;-22,93493165;94,07158474;active
PDEL;37,74775063;-25,66276239;110,6181876;inactive
PBJP;-7,136275768;-34,87342473;49,0470221;active
PERC;-8,058798775;-34,95038551;12,24979593;active
RECF;-8,050962302;-34,9515169;20,13568742;removed
RNNA;-5,836139087;-35,20770844;45,96154283;active
ALMA;-9,55470924;-35,7771018;84,80981633;active
PBCG;-7,213676291;-35,90713817;534,083189;active
ALAR;-9,7492228;-36,6534204;266,1996;active
SEAJ;-10,9296311;-37,1042785;1,6121;active
RNMO;-5,204232339;-37,32546514;23,36944319;active
PEAF;-7,764109762;-37,63195577;533,0047373;active
RNPF;-6,131765028;-38,20682897;224,2598497;active
BAPA;-9,390144766;-38,21546282;245,141564;active
BRFT;-3,877445135;-38,42553786;21,66983258;inactive
CEEU;-3,877546575;-38,42554137;21,728037;active
SAVO;-12,93924455;-38,43225444;76,30822136;active
CEFT;-3,710809495;-38,47291851;4,885114251;active
SSA1;-12,97515678;-38,51648512;-2,096277731;active
BAIL;-14,7966004;-39,17238585;44,68802744;active
CRAT;-7,238016482;-39,41560601;436,0127698;active
BATF;-17,55486991;-39,7433451;108,8491628;active
BAIT;-12,52134489;-40,28865728;267,5015197;active
CEFE;-20,31079298;-40,31945534;14,28502994;active
CESB;-3,6812682;-40,3374873;56,8248;active
ESNV;-18,7135129;-40,37771147;73,41816405;active
PEPE;-9,384415955;-40,50612439;369,0933487;active
BAVC;-14,88831;-40,80270311;875,1756064;active
RJCG;-21,76486434;-41,32615621;9,923679082;active
MGTO;-17,88399434;-41,49847712;390,5612137;active
BAIR;-11,30564597;-41,85851982;723,9033342;removed
GVAL;-18,85560544;-41,95761964;178,6493667;removed
GVA1;-18,85560481;-41,95761994;178,5851099;active
PISR;-9,030691924;-42,70275929;366,7854692;active
PITN;-5,102479311;-42,79302992;67,96909104;active
VICO;-20,76149909;-42,86998999;665,9476058;active
PIFL;-6,788125289;-43,04115698;109,4961983;inactive
ONRJ;-22,89569839;-43,22433234;35,6316994;active
RIOD;-22,8178427;-43,3062771;8,6112;removed
MGJF;-21,7768305;-43,37257851;921,3358281;active
BOMJ;-13,2555566;-43,4217358;419,3925;removed
BABJ;-13,26145758;-43,54706615;428,3253033;active
RJVA;-22,40220882;-43,65186349;444,9591522;inactive
JAMG;-15,36270425;-43,7668523;475,2391505;inactive
MGMC;-16,71638988;-43,85831728;618,1725635;active
